age,gender,category,amount,transaction_hour,days_since_last_txn,is_foreign_country,fraud
29,F,entertainment,50.23,5,6,0,0
35,M,online,84.97,9,4,0,0
25,F,health,11.38,12,6,0,0
76,M,food,38.13,7,8,0,0
55,M,fuel,317.93,12,10,0,0
20,M,online,57.54,12,4,0,0
74,M,grocery,16.09,12,0,0,0
56,M,food,68.21,8,8,0,0
21,F,fuel,30.29,16,0,0,0
62,M,clothing,10.93,7,4,0,0
55,M,food,36.9,16,2,0,0
36,M,clothing,76.83,14,8,0,0
20,M,fuel,79.27,10,4,0,0
60,M,fuel,41.97,14,3,0,0
74,M,food,45.63,10,10,0,0
58,F,online,30.01,20,2,0,0
72,F,grocery,35.85,18,4,0,0
72,M,health,25.07,10,10,0,0
68,F,atm,241.55,18,7,0,0
47,M,grocery,54.76,19,3,1,0
75,M,food,19.51,12,2,0,0
73,F,electronics,49.41,16,19,0,0
21,M,clothing,92.37,20,3,0,0
79,F,health,13.89,19,0,0,0
55,M,health,10.99,12,3,0,0
58,F,electronics,35.53,20,12,0,0
69,F,health,76.37,18,0,0,0
34,M,grocery,21.27,16,0,0,0
43,F,food,52.15,12,1,0,0
62,F,fuel,310.04,13,3,0,0
63,F,clothing,71.66,17,3,0,0
41,F,food,28.12,9,0,0,0
48,F,entertainment,28.59,14,1,0,0
47,F,fuel,43.44,9,3,0,0
71,F,entertainment,9.86,21,6,0,0
70,F,electronics,22.55,14,2,0,0
64,M,fuel,90.06,14,4,0,0
69,M,grocery,99.95,5,7,0,0
76,M,clothing,158.8,14,9,0,0
22,F,grocery,147.08,9,5,0,0
44,F,grocery,24.55,16,4,0,0
69,F,health,53.27,16,2,0,0
55,M,entertainment,57.33,14,4,0,0
56,M,clothing,78.76,18,37,0,0
41,M,entertainment,89.47,19,27,0,0
52,M,travel,62.41,15,9,0,0
23,M,fuel,71.64,20,2,0,0
60,F,health,66.56,15,4,0,0
73,F,grocery,17.66,11,6,0,0
72,F,food,28.6,18,0,0,0
76,F,online,137.34,10,1,0,0
52,M,electronics,42.85,9,1,0,0
66,F,online,16.03,11,0,0,0
51,M,entertainment,18.63,17,0,0,0
48,F,clothing,54.51,17,12,0,0
30,M,travel,171.18,14,12,0,0
58,F,food,20.75,9,12,0,0
76,M,grocery,372.78,13,4,0,0
59,M,clothing,84.39,12,7,0,0
53,F,entertainment,46.03,18,5,0,0
37,F,online,38.77,12,8,0,0
29,F,food,59.49,11,1,0,0
52,F,food,62.85,11,26,0,0
78,F,fuel,18.54,22,2,0,0
78,F,grocery,383.08,12,30,0,0
19,M,grocery,128.7,9,27,0,0
50,M,grocery,71.7,23,5,0,0
35,F,entertainment,3.3,8,2,0,0
64,F,fuel,60.59,15,16,0,0
31,M,online,43.4,13,9,0,0
41,F,grocery,37.39,14,16,0,0
78,F,clothing,9.31,17,0,0,0
78,M,grocery,46.22,6,8,0,0
73,M,electronics,24.27,11,21,0,0
34,M,grocery,27.47,14,3,0,0
22,M,health,5.9,17,7,0,0
55,F,clothing,31.75,14,7,0,0
46,M,atm,20.27,11,2,0,0
40,M,travel,77.21,15,24,0,0
30,M,atm,37.66,15,4,0,0
46,M,atm,89.91,12,12,0,0
43,M,food,563.19,16,6,0,0
65,F,fuel,35.64,7,6,0,0
52,M,entertainment,96.76,6,24,0,0
36,M,fuel,9.3,18,1,0,0
62,M,electronics,69.29,9,2,0,0
73,F,online,17.55,8,7,1,0
31,M,fuel,15.0,6,3,0,0
46,M,travel,19.62,9,0,0,0
61,F,food,65.65,6,28,0,0
78,F,entertainment,56.95,21,26,0,0
75,M,grocery,86.35,18,7,0,0
68,M,food,168.54,19,7,0,0
78,F,online,138.61,11,14,0,0
44,M,fuel,35.29,16,19,0,0
64,F,electronics,6.25,13,2,1,0
33,M,grocery,144.83,8,4,0,0
39,F,entertainment,9.19,18,13,0,0
52,M,travel,21.5,9,0,0,0
65,M,entertainment,212.36,13,0,0,0
24,M,online,115.38,5,19,0,0
48,M,clothing,63.33,7,4,0,0
58,M,grocery,20.83,19,0,0,0
41,M,grocery,32.19,5,5,0,0
65,F,online,52.02,10,15,0,0
45,F,electronics,35.05,13,10,0,0
25,F,food,217.26,13,4,0,0
63,M,entertainment,54.73,7,5,0,0
32,F,clothing,5.24,23,3,0,0
48,F,grocery,80.18,7,1,0,0
53,M,online,256.49,10,11,0,0
32,F,grocery,28.22,15,2,0,0
18,F,food,22.44,20,23,0,0
34,M,grocery,7.45,18,15,0,0
24,M,atm,31.16,14,0,0,0
26,M,food,175.71,9,0,0,0
24,M,grocery,358.83,7,5,0,0
49,F,grocery,86.13,15,6,0,0
18,M,health,26.95,13,0,0,0
31,M,grocery,104.04,15,5,0,0
27,F,health,182.97,19,20,0,0
20,F,health,62.39,17,13,0,0
30,F,online,24.08,6,11,0,0
35,F,online,33.95,11,2,0,0
54,M,atm,214.22,20,7,0,0
67,F,clothing,55.91,6,8,0,0
78,M,food,20.15,12,4,0,0
35,M,fuel,132.52,13,12,0,0
29,M,fuel,41.92,17,19,0,0
20,M,fuel,188.91,16,16,0,0
65,F,atm,59.03,19,8,0,0
31,F,clothing,153.95,15,2,0,0
79,M,health,10.55,14,1,0,0
32,F,health,232.57,8,12,0,0
68,F,food,142.66,6,10,0,0
37,M,grocery,39.43,14,0,0,0
56,F,fuel,92.37,13,2,0,0
21,M,online,25.27,7,4,0,0
48,F,travel,139.41,6,2,0,0
78,M,fuel,19.31,11,6,0,0
77,F,online,62.61,8,0,0,0
24,M,fuel,24.72,21,6,0,0
22,F,clothing,23.32,18,2,0,0
49,F,fuel,64.99,9,12,0,0
38,M,grocery,165.65,10,0,0,0
51,M,health,60.93,18,2,0,0
19,M,electronics,27.4,16,37,0,0
47,F,grocery,36.7,14,2,0,0
63,M,health,12.31,14,1,0,0
43,F,health,52.73,20,15,0,0
52,M,entertainment,9.27,14,8,0,0
47,F,online,60.22,14,11,0,0
68,F,grocery,85.68,18,4,0,0
59,F,travel,106.99,13,11,0,0
51,F,food,20.65,11,5,0,0
61,M,fuel,87.45,14,8,0,0
41,F,entertainment,80.55,18,23,1,0
41,F,online,44.01,12,46,0,0
19,M,health,61.77,14,13,0,0
41,F,food,14.01,11,1,0,0
42,F,fuel,92.45,10,2,0,0
47,M,electronics,56.38,22,1,0,0
60,F,grocery,148.87,18,0,0,0
22,M,grocery,48.07,14,5,0,0
40,F,health,4.3,6,1,0,0
36,M,online,26.52,11,5,0,0
29,M,online,81.75,7,2,0,0
68,F,health,9.12,0,1,0,0
71,M,travel,11.07,14,1,0,0
33,F,fuel,77.85,18,0,0,0
24,F,travel,23.08,14,17,0,0
62,M,food,16.77,6,0,0,0
71,F,fuel,8.63,8,9,0,0
44,M,grocery,50.83,11,2,1,0
37,M,entertainment,663.63,19,15,0,0
30,M,food,7.81,9,30,0,0
78,M,fuel,112.84,6,0,0,0
70,M,fuel,52.8,22,9,0,0
69,M,online,82.67,14,9,0,0
67,M,fuel,50.6,8,7,0,0
62,M,fuel,10.05,19,11,0,0
24,F,clothing,18.49,12,11,0,0
19,M,food,39.37,12,4,0,0
60,M,atm,51.43,17,16,0,0
48,M,health,334.99,7,7,0,0
21,F,clothing,291.62,21,7,0,0
75,F,clothing,49.46,12,4,0,0
40,F,online,44.78,10,2,0,0
38,M,food,235.65,9,5,0,0
69,M,health,130.7,16,8,0,0
33,F,travel,35.99,0,2,0,0
73,F,electronics,34.7,9,11,0,0
72,F,entertainment,37.61,1,4,0,0
69,M,electronics,39.45,21,5,0,0
42,M,entertainment,231.53,12,1,0,0
65,F,atm,24.2,10,12,0,0
45,F,fuel,90.16,13,18,0,0
18,F,food,133.56,15,25,0,0
54,M,food,63.77,17,10,0,0
78,F,atm,59.99,12,14,0,0
48,F,health,15.62,15,7,0,0
31,M,fuel,56.21,14,5,0,0
47,F,clothing,31.28,16,4,0,0
43,M,food,49.03,12,3,0,0
31,M,food,26.57,13,3,0,0
56,M,entertainment,76.62,10,1,0,0
52,F,fuel,125.91,2,5,0,0
22,F,food,89.87,9,22,0,0
58,F,online,179.13,9,14,0,0
23,M,health,54.96,18,7,0,0
44,F,clothing,15.56,14,4,0,0
20,M,travel,8.92,8,4,0,0
54,F,travel,56.86,12,18,0,0
30,F,health,44.29,15,8,0,0
70,M,grocery,200.0,3,0,1,1
43,F,electronics,133.08,6,2,0,0
35,F,atm,82.0,6,4,0,0
28,M,grocery,67.25,0,9,0,0
24,M,fuel,297.55,10,2,0,0
46,F,online,51.59,10,7,0,0
20,F,grocery,63.99,15,8,0,0
54,F,online,30.86,10,2,0,0
76,M,clothing,161.36,6,4,0,0
68,F,health,8.8,16,33,0,0
62,M,health,39.71,17,1,0,0
20,M,travel,14.32,18,3,0,0
26,F,clothing,68.35,5,1,0,0
67,F,entertainment,168.93,6,3,0,0
50,F,health,39.57,17,7,0,0
60,M,entertainment,98.11,12,7,0,0
68,M,fuel,25.01,8,1,0,0
62,F,entertainment,173.72,16,6,0,0
20,F,entertainment,111.43,10,1,0,0
59,M,travel,152.93,20,9,0,0
54,F,fuel,50.14,17,0,0,0
33,M,fuel,9.43,15,4,0,0
53,M,fuel,6.13,12,20,0,0
55,F,clothing,32.28,9,5,0,0
18,F,fuel,9.6,6,18,0,0
32,M,entertainment,42.5,13,1,0,0
37,M,grocery,15.01,17,14,0,0
23,M,food,32.27,8,5,0,0
20,M,grocery,15.24,12,1,0,0
27,M,entertainment,14.76,14,11,0,0
70,M,clothing,12.47,17,0,0,0
58,M,travel,12.2,20,6,0,0
50,F,food,170.26,4,11,0,0
43,M,clothing,6.17,20,18,0,0
32,M,food,20.44,10,3,0,0
50,F,clothing,79.46,19,7,1,0
30,F,online,16.89,12,3,0,0
48,F,travel,68.67,6,10,0,0
21,M,travel,8.82,14,1,0,0
30,M,grocery,52.29,7,3,0,0
66,F,fuel,27.34,15,3,0,0
28,F,health,31.43,12,0,0,0
20,M,clothing,15.62,8,8,0,0
36,F,atm,10.55,5,22,0,0
24,F,atm,275.63,2,15,0,0
35,F,fuel,60.21,8,7,0,0
22,F,clothing,94.06,9,6,0,0
76,M,health,208.27,11,3,0,0
27,F,electronics,5.39,8,4,0,0
64,F,electronics,900.23,11,7,0,0
69,F,clothing,39.43,17,22,0,0
41,M,clothing,78.93,11,7,0,0
50,F,online,72.83,8,8,0,0
60,F,entertainment,88.87,8,2,0,0
78,F,fuel,78.22,12,13,0,0
79,M,health,49.76,16,1,0,0
77,M,electronics,159.29,14,1,0,0
79,F,health,164.57,3,2,0,0
34,M,grocery,158.51,8,13,0,0
58,M,grocery,94.18,14,11,0,0
33,F,online,64.54,13,7,0,0
65,M,entertainment,17.96,7,4,0,0
35,M,food,1.22,9,7,0,0
45,M,food,225.42,15,7,0,0
33,M,atm,22.07,10,26,0,0
44,M,online,62.92,9,1,0,0
27,F,electronics,37.1,14,2,0,0
77,F,food,95.95,14,11,0,0
59,M,health,18.44,9,3,0,0
78,M,online,35.81,16,13,0,0
75,M,health,27.98,6,2,0,0
61,F,fuel,50.89,16,8,0,0
34,F,electronics,79.93,16,1,0,0
27,M,health,22.26,10,6,0,0
78,F,health,156.51,20,7,0,0
32,M,grocery,56.71,12,0,0,0
63,M,fuel,42.72,19,4,0,0
45,F,fuel,293.82,14,15,0,0
72,F,travel,21.64,14,10,0,0
76,F,clothing,24.27,13,4,0,0
63,F,clothing,23.98,9,8,0,0
73,F,grocery,47.67,23,4,0,0
50,F,food,10.67,9,8,0,0
76,F,clothing,60.11,17,7,0,0
78,M,grocery,139.88,23,8,0,0
29,F,grocery,198.62,23,0,0,0
50,F,entertainment,10.08,14,15,0,0
79,M,fuel,198.57,12,5,0,0
21,F,travel,57.05,18,9,0,0
28,F,health,102.45,19,1,0,0
21,M,travel,93.08,11,9,0,0
79,M,atm,97.59,4,12,0,0
70,F,food,52.14,22,25,0,0
49,M,travel,118.13,10,1,0,0
49,M,travel,41.09,9,5,0,0
78,F,electronics,35.4,16,20,0,0
75,M,fuel,28.82,7,26,0,0
44,F,health,46.61,17,6,0,0
22,M,grocery,35.91,12,1,0,0
21,M,health,53.43,9,0,0,0
63,M,grocery,355.6,16,9,0,0
55,M,travel,83.95,5,5,0,0
25,F,grocery,417.16,21,1,0,0
29,F,food,62.1,17,3,0,0
70,F,electronics,36.97,12,18,0,0
70,F,electronics,57.18,8,7,0,0
70,F,electronics,25.77,8,4,1,0
54,M,online,35.23,17,9,0,0
30,M,grocery,80.06,13,1,0,0
60,F,atm,40.35,15,0,0,0
53,M,clothing,141.61,15,15,0,0
30,M,health,19.72,20,8,0,0
29,M,electronics,329.97,7,26,0,0
61,M,food,48.44,19,2,0,0
73,M,health,10.66,12,1,0,0
52,M,grocery,62.89,10,14,0,0
65,M,fuel,105.45,17,1,0,0
18,M,grocery,7.73,13,17,0,0
60,F,electronics,33.77,8,11,0,0
30,F,electronics,104.76,12,2,0,0
76,M,travel,266.28,11,3,0,0
57,M,grocery,184.16,14,6,0,0
37,M,travel,58.29,17,7,0,0
36,M,fuel,25.6,9,1,0,0
21,F,health,78.29,7,0,0,0
79,F,travel,13.57,7,0,0,0
43,F,fuel,53.7,19,3,0,0
31,F,grocery,61.38,10,3,0,0
59,M,food,136.11,11,5,0,0
74,F,entertainment,21.19,12,0,0,0
47,F,grocery,17.04,21,15,0,0
71,F,grocery,47.68,6,16,1,0
44,M,food,33.92,14,2,0,0
38,M,food,108.17,12,9,0,0
75,M,travel,112.75,14,4,0,0
25,F,entertainment,9.2,18,13,0,0
68,F,online,138.73,8,3,0,0
79,F,online,25.81,17,1,0,0
66,M,online,84.74,16,5,0,0
47,M,online,351.01,19,7,0,0
26,F,travel,55.92,12,2,0,0
24,M,health,194.54,18,1,0,0
18,M,online,19.05,18,5,0,0
69,M,grocery,54.67,16,0,0,0
41,F,travel,90.11,16,1,0,0
50,M,atm,26.73,9,0,0,0
75,M,electronics,10.47,14,8,0,0
34,F,entertainment,47.08,17,11,0,0
55,F,clothing,155.82,10,0,0,0
76,F,grocery,26.48,5,9,0,0
78,F,online,46.61,23,4,0,0
28,M,health,32.15,8,2,0,0
23,F,entertainment,54.09,11,7,0,0
51,F,food,25.15,12,2,0,0
69,M,fuel,4.94,19,0,0,0
72,M,electronics,159.02,12,3,0,0
72,F,clothing,13.94,12,7,0,0
70,M,food,2.59,6,1,0,0
79,F,health,15.18,7,1,0,0
68,F,grocery,22.97,21,1,0,0
48,M,food,64.02,10,8,0,0
52,M,travel,61.78,8,10,0,0
45,F,grocery,140.25,11,4,0,0
24,F,travel,141.49,9,0,1,0
55,M,grocery,12.62,7,16,0,0
44,F,clothing,224.34,19,28,0,0
72,M,food,8.08,19,3,0,0
70,F,health,13.61,12,6,1,0
27,F,entertainment,47.85,8,7,0,0
61,M,grocery,77.11,10,0,0,0
48,M,fuel,492.13,14,5,0,1
35,M,health,22.33,21,2,0,0
62,M,clothing,22.26,14,12,0,0
79,M,food,96.3,11,1,0,0
46,F,entertainment,39.52,12,18,0,0
74,F,online,12.17,18,5,1,0
63,M,entertainment,3.05,7,11,0,0
35,M,clothing,72.79,21,13,0,0
18,M,grocery,44.68,6,12,0,0
49,F,online,36.11,8,3,0,0
66,F,food,15.97,15,1,0,0
36,M,health,89.57,10,3,0,0
34,M,electronics,92.22,8,4,0,0
42,M,clothing,28.56,14,1,0,0
62,F,grocery,33.79,3,1,0,0
39,M,grocery,189.55,17,7,0,0
78,F,clothing,51.66,8,0,0,0
52,F,grocery,45.94,11,3,0,0
57,F,food,106.5,15,5,0,0
72,M,atm,64.1,9,41,0,0
50,F,health,28.47,9,3,0,0
28,M,food,58.01,18,3,0,0
68,M,online,19.41,5,6,0,0
23,M,travel,56.13,13,1,0,0
39,F,grocery,37.47,17,8,0,0
30,F,online,41.66,14,2,0,0
51,M,health,7.08,2,2,0,0
49,F,atm,15.38,20,8,0,0
27,F,food,38.92,14,4,0,0
77,F,fuel,133.17,7,14,0,0
62,M,electronics,20.72,19,5,0,0
68,F,fuel,132.75,11,2,0,0
79,F,travel,153.73,9,1,0,0
56,F,grocery,23.75,17,25,0,0
52,M,food,211.42,0,16,0,0
65,M,grocery,43.4,7,0,0,0
62,M,food,20.75,12,1,0,0
64,M,entertainment,9.32,11,4,0,0
70,M,electronics,98.77,7,0,0,0
56,M,grocery,33.98,10,13,1,0
55,F,food,2.6,22,0,0,0
74,M,food,119.27,12,5,0,0
67,F,atm,31.12,14,0,0,0
28,M,atm,51.54,12,0,0,0
55,F,travel,7.96,9,8,1,0
70,M,electronics,83.14,7,2,0,0
61,M,food,35.86,8,7,0,0
38,F,health,142.65,19,0,0,0
34,M,fuel,90.97,10,2,0,0
23,M,electronics,45.3,7,7,0,0
42,M,health,108.56,10,0,0,0
69,M,fuel,108.07,20,1,0,0
46,M,grocery,98.98,4,16,0,0
26,F,online,65.25,13,2,0,0
78,F,grocery,73.7,19,1,1,0
52,M,grocery,55.11,9,10,0,0
19,F,food,61.69,6,8,0,0
69,M,health,26.95,19,0,0,0
28,M,travel,89.67,19,0,0,0
46,F,travel,162.43,6,43,0,0
34,M,clothing,146.31,7,16,0,0
34,M,food,15.71,7,8,0,0
31,F,online,105.4,20,5,0,0
56,F,travel,12.48,14,13,0,0
32,F,food,130.18,8,9,0,0
43,M,health,32.26,11,11,0,0
52,M,online,36.79,11,0,0,0
53,M,online,12.73,13,1,0,0
40,F,grocery,42.23,14,12,0,0
42,M,health,127.0,15,7,0,0
18,F,electronics,47.56,14,10,0,0
45,M,electronics,104.11,8,5,0,0
76,M,fuel,64.29,15,3,0,0
69,F,travel,26.27,16,5,0,0
50,M,food,82.16,17,3,0,0
34,F,grocery,128.78,1,13,0,0
61,F,online,35.53,11,3,0,0
48,M,electronics,33.64,4,0,0,0
52,F,grocery,25.61,11,17,0,0
74,F,grocery,21.08,21,13,0,0
35,F,grocery,3.64,12,0,0,0
59,M,grocery,57.51,15,11,0,0
41,M,clothing,24.3,9,13,0,0
74,M,entertainment,33.55,19,10,1,0
78,F,electronics,18.81,17,3,0,0
73,M,travel,46.94,12,2,0,0
41,F,grocery,105.15,13,8,0,0
27,F,food,68.3,11,8,0,0
65,M,grocery,58.77,14,1,0,0
19,M,grocery,35.7,1,10,0,0
44,F,food,34.27,11,4,0,0
75,M,clothing,28.54,11,9,0,0
67,M,grocery,46.97,22,8,0,0
38,F,food,29.31,6,5,0,0
68,M,health,24.27,23,25,0,0
32,F,entertainment,40.23,17,3,0,0
53,M,health,13.46,8,1,0,0
78,F,electronics,41.44,0,2,0,0
41,M,online,22.47,13,8,0,0
70,F,health,5.46,11,5,0,0
42,F,travel,30.31,22,1,0,0
64,F,food,10.67,8,4,0,0
47,M,health,60.45,17,0,0,0
19,M,online,186.81,11,1,0,0
33,F,atm,208.75,14,1,0,0
64,F,food,80.24,20,1,0,0
62,F,food,19.88,18,6,0,0
72,F,clothing,13.72,16,13,0,0
75,F,clothing,40.44,13,14,0,0
55,F,health,76.81,13,8,0,0
42,M,clothing,13.64,23,12,0,0
48,F,grocery,32.54,19,1,0,0
43,F,online,63.92,22,8,1,0
23,F,health,17.32,13,7,0,0
79,F,online,13.11,11,3,0,0
65,M,food,13.25,15,1,0,0
58,M,grocery,53.02,9,3,0,0
60,M,electronics,25.93,16,4,0,0
62,F,entertainment,122.6,15,25,0,0
68,M,electronics,113.88,21,19,0,0
45,M,travel,48.1,7,1,0,0
77,F,health,44.66,22,1,0,0
23,M,online,21.14,15,6,1,0
37,F,grocery,149.16,12,5,0,0
49,M,clothing,7.66,16,11,0,0
62,F,travel,160.97,15,10,0,0
19,F,atm,117.77,7,2,0,0
41,F,fuel,27.4,2,0,0,0
26,F,fuel,158.59,1,1,0,0
75,M,entertainment,13.08,11,2,0,0
46,F,travel,133.83,13,1,0,0
42,M,travel,65.5,18,0,0,0
51,M,grocery,36.59,8,19,1,0
22,M,grocery,20.1,20,5,0,0
33,M,entertainment,107.39,11,4,0,0
79,M,travel,49.26,21,1,0,0
49,M,fuel,40.47,14,1,0,0
43,F,online,167.65,11,28,0,0
26,F,clothing,20.18,11,2,0,0
58,M,electronics,120.5,6,1,0,0
36,M,atm,144.42,23,5,0,0
64,M,online,73.94,9,8,0,0
68,F,grocery,43.65,9,2,0,0
50,F,fuel,59.03,11,17,0,0
48,M,online,27.34,10,0,0,0
62,F,grocery,60.79,19,0,0,0
40,M,travel,173.75,9,9,0,0
79,M,travel,69.78,22,7,0,0
65,M,fuel,16.31,8,5,0,0
45,F,entertainment,4.86,14,18,0,0
60,F,atm,69.83,14,8,0,0
28,F,health,24.17,19,1,0,0
32,M,health,13.08,15,6,0,0
58,F,travel,23.07,6,0,0,0
78,M,online,73.08,16,21,0,0
42,M,grocery,26.51,7,1,0,0
77,M,atm,58.07,11,1,0,0
18,M,grocery,57.3,14,0,0,0
67,F,electronics,43.8,19,8,0,0
47,M,clothing,97.12,10,9,0,0
57,M,online,40.78,17,5,0,0
36,M,food,132.7,15,2,0,0
62,F,fuel,104.19,15,6,0,0
53,M,food,17.32,11,4,0,0
18,M,electronics,22.39,12,10,0,0
39,F,grocery,74.02,6,9,0,0
67,F,online,98.19,15,1,0,0
33,M,food,60.64,12,22,0,0
51,F,food,11.74,20,2,0,0
75,M,travel,190.15,16,4,0,0
38,M,food,20.74,20,4,0,0
27,F,travel,27.6,10,4,1,0
49,M,travel,60.46,12,6,0,0
23,M,travel,84.95,13,7,0,0
64,M,food,12.23,6,8,0,0
35,M,food,750.56,15,4,0,0
76,M,health,93.26,13,0,0,0
43,F,electronics,11.1,7,2,0,0
74,M,clothing,52.96,8,3,0,0
46,F,grocery,11.38,13,1,0,0
61,F,travel,65.35,11,8,0,0
63,F,online,9.51,5,0,0,0
27,F,grocery,43.09,17,3,0,0
24,F,health,149.09,7,7,0,0
49,M,food,65.14,4,2,0,0
54,M,travel,159.51,10,3,0,0
44,M,clothing,107.86,17,16,0,0
42,F,grocery,65.34,10,3,0,0
71,F,electronics,27.53,12,0,0,0
67,M,grocery,165.92,11,1,1,0
48,F,health,65.7,14,8,0,0
30,M,atm,12.65,8,18,0,0
32,F,food,10.03,11,4,0,0
77,F,travel,47.93,10,3,0,0
22,F,health,15.2,7,2,0,0
68,F,health,10.2,10,3,0,0
51,M,fuel,26.39,8,0,0,0
54,M,electronics,19.54,13,10,0,0
52,M,fuel,53.98,8,0,1,0
75,F,food,36.28,19,23,0,0
39,M,food,30.27,8,0,0,0
43,F,entertainment,68.98,6,5,0,0
49,F,online,26.02,16,2,0,0
49,M,grocery,6.74,9,19,0,0
59,F,food,25.27,16,9,0,0
78,F,grocery,9.5,17,12,0,0
30,F,food,34.01,1,8,0,0
62,F,grocery,161.15,12,5,0,0
70,F,entertainment,283.27,9,0,0,0
48,F,fuel,86.13,20,0,0,0
75,M,travel,77.05,22,3,1,0
67,F,food,59.95,15,3,0,0
18,F,health,6.9,14,8,1,0
20,M,food,177.66,6,6,0,0
30,F,travel,9.01,17,0,0,0
19,M,entertainment,12.38,19,0,0,0
45,M,grocery,148.62,15,1,0,0
71,M,travel,22.91,18,9,0,0
47,M,health,17.79,9,0,0,0
61,M,online,141.11,8,2,0,0
33,F,travel,17.61,11,0,0,0
52,M,travel,4.37,21,13,0,0
52,F,health,90.53,8,2,0,0
71,M,online,24.91,3,3,0,0
21,F,food,56.81,17,3,0,0
31,F,clothing,39.17,8,14,0,0
63,F,food,37.02,18,2,0,0
30,F,grocery,96.01,16,1,0,0
26,M,electronics,41.53,7,2,0,0
43,F,fuel,165.62,14,18,0,0
39,M,health,45.18,17,7,0,0
72,M,grocery,101.73,7,4,0,0
73,F,food,25.59,12,8,0,0
56,F,food,29.87,9,0,0,0
76,M,electronics,27.4,15,6,0,0
28,F,food,49.36,6,17,0,0
61,F,grocery,125.82,16,0,0,0
56,F,grocery,46.56,16,8,0,0
28,F,grocery,17.97,9,0,0,0
47,F,online,122.56,6,6,0,0
72,M,fuel,11.91,9,10,0,0
44,M,travel,112.01,21,15,0,0
70,F,travel,7.9,21,3,0,0
45,F,travel,91.67,8,1,0,0
71,F,food,8.79,15,9,0,0
32,M,electronics,229.78,19,3,0,0
59,M,travel,32.14,0,4,0,0
